Drug 1,Drug 2,Interaction Description
Regorafenib,Deslanoside,Regorafenib may decrease the cardiotoxic activities of Deslanoside.
Ponatinib,Deslanoside,Ponatinib may decrease the cardiotoxic activities of Deslanoside.
Bendamustine,Deslanoside,Bendamustine may decrease the cardiotoxic activities of Deslanoside.
Axitinib,Deslanoside,Axitinib may decrease the cardiotoxic activities of Deslanoside.
Flutamide,Deslanoside,Flutamide may decrease the cardiotoxic activities of Deslanoside.
Nilutamide,Deslanoside,Nilutamide may decrease the cardiotoxic activities of Deslanoside.
Vismodegib,Deslanoside,Vismodegib may decrease the cardiotoxic activities of Deslanoside.
Exemestane,Deslanoside,Exemestane may decrease the cardiotoxic activities of Deslanoside.
Methyltestosterone,Deslanoside,Methyltestosterone may decrease the cardiotoxic activities of Deslanoside.
Bexarotene,Deslanoside,Bexarotene may decrease the cardiotoxic activities of Deslanoside.
Venetoclax,Deslanoside,Venetoclax may decrease the cardiotoxic activities of Deslanoside.
Tamoxifen,Deslanoside,Tamoxifen may decrease the cardiotoxic activities of Deslanoside.
Cabozantinib,Deslanoside,Cabozantinib may decrease the cardiotoxic activities of Deslanoside.
Romidepsin,Deslanoside,Romidepsin may decrease the cardiotoxic activities of Deslanoside.
Fulvestrant,Deslanoside,Fulvestrant may decrease the cardiotoxic activities of Deslanoside.
Erlotinib,Deslanoside,Erlotinib may decrease the cardiotoxic activities of Deslanoside.
Hydroxyprogesterone caproate,Deslanoside,Hydroxyprogesterone caproate may decrease the cardiotoxic activities of Deslanoside.
Dabrafenib,Deslanoside,Dabrafenib may decrease the cardiotoxic activities of Deslanoside.
Mebendazole,Deslanoside,Mebendazole may decrease the cardiotoxic activities of Deslanoside.
Bicalutamide,Deslanoside,Bicalutamide may decrease the cardiotoxic activities of Deslanoside.
Ixabepilone,Deslanoside,Ixabepilone may decrease the cardiotoxic activities of Deslanoside.
Lomefloxacin,Deslanoside,Lomefloxacin may decrease the cardiotoxic activities of Deslanoside.
Colchicine,Deslanoside,Colchicine may decrease the cardiotoxic activities of Deslanoside.
Quinethazone,Deslanoside,The risk or severity of adverse effects can be increased when Quinethazone is combined with Deslanoside.
Decitabine,Deslanoside,Decitabine may decrease the cardiotoxic activities of Deslanoside.
Carfilzomib,Deslanoside,Carfilzomib may decrease the cardiotoxic activities of Deslanoside.
Dexrazoxane,Deslanoside,Dexrazoxane may decrease the cardiotoxic activities of Deslanoside.
Vitamin A,Deslanoside,Vitamin A may decrease the cardiotoxic activities of Deslanoside.
Nedaplatin,Deslanoside,Nedaplatin may decrease the cardiotoxic activities of Deslanoside.
Vinflunine,Deslanoside,Vinflunine may decrease the cardiotoxic activities of Deslanoside.
Nalidixic acid,Deslanoside,Nalidixic acid may decrease the cardiotoxic activities of Deslanoside.
Belinostat,Deslanoside,Belinostat may decrease the cardiotoxic activities of Deslanoside.
Trametinib,Deslanoside,Trametinib may decrease the cardiotoxic activities of Deslanoside.
Anastrozole,Deslanoside,Anastrozole may decrease the cardiotoxic activities of Deslanoside.
Raltitrexed,Deslanoside,Raltitrexed may decrease the cardiotoxic activities of Deslanoside.
Bosutinib,Deslanoside,Bosutinib may decrease the cardiotoxic activities of Deslanoside.
Calcipotriol,Deslanoside,Calcipotriol may decrease the cardiotoxic activities of Deslanoside.
Cobimetinib,Deslanoside,Cobimetinib may decrease the cardiotoxic activities of Deslanoside.
Besifloxacin,Deslanoside,Besifloxacin may decrease the cardiotoxic activities of Deslanoside.
Tegafur,Deslanoside,Tegafur may decrease the cardiotoxic activities of Deslanoside.
Alitretinoin,Deslanoside,Alitretinoin may decrease the cardiotoxic activities of Deslanoside.
Pipobroman,Deslanoside,Pipobroman may decrease the cardiotoxic activities of Deslanoside.
Uracil mustard,Deslanoside,Uracil mustard may decrease the cardiotoxic activities of Deslanoside.
Alectinib,Deslanoside,Alectinib may decrease the cardiotoxic activities of Deslanoside.
Testolactone,Deslanoside,Testolactone may decrease the cardiotoxic activities of Deslanoside.
Eflornithine,Deslanoside,Eflornithine may decrease the cardiotoxic activities of Deslanoside.
Trovafloxacin,Deslanoside,Trovafloxacin may decrease the cardiotoxic activities of Deslanoside.
Radium Ra 223 dichloride,Deslanoside,Radium Ra 223 dichloride may decrease the cardiotoxic activities of Deslanoside.
Nintedanib,Deslanoside,Nintedanib may decrease the cardiotoxic activities of Deslanoside.
Methyl aminolevulinate,Deslanoside,Methyl aminolevulinate may decrease the cardiotoxic activities of Deslanoside.
Enoxacin,Deslanoside,Enoxacin may decrease the cardiotoxic activities of Deslanoside.
Pefloxacin,Deslanoside,Pefloxacin may decrease the cardiotoxic activities of Deslanoside.
Azelaic acid,Deslanoside,Azelaic acid may decrease the cardiotoxic activities of Deslanoside.
Cinoxacin,Deslanoside,Cinoxacin may decrease the cardiotoxic activities of Deslanoside.
Phenylacetic acid,Deslanoside,Phenylacetic acid may decrease the cardiotoxic activities of Deslanoside.
Sparfloxacin,Deslanoside,Sparfloxacin may decrease the cardiotoxic activities of Deslanoside.
Niraparib,Deslanoside,Niraparib may decrease the cardiotoxic activities of Deslanoside.
Vapreotide,Deslanoside,Vapreotide may decrease the cardiotoxic activities of Deslanoside.
Verteporfin,Deslanoside,Verteporfin may decrease the cardiotoxic activities of Deslanoside.
Trilostane,Deslanoside,Trilostane may decrease the cardiotoxic activities of Deslanoside.
Sonidegib,Deslanoside,Sonidegib may decrease the cardiotoxic activities of Deslanoside.
Cyproterone acetate,Deslanoside,Cyproterone acetate may decrease the cardiotoxic activities of Deslanoside.
Suramin,Deslanoside,Suramin may decrease the cardiotoxic activities of Deslanoside.
Iobenguane,Deslanoside,Iobenguane may decrease the cardiotoxic activities of Deslanoside.
Omacetaxine mepesuccinate,Deslanoside,Omacetaxine mepesuccinate may decrease the cardiotoxic activities of Deslanoside.
Aminoglutethimide,Deslanoside,Aminoglutethimide may decrease the cardiotoxic activities of Deslanoside.
Gatifloxacin,Deslanoside,Gatifloxacin may decrease the cardiotoxic activities of Deslanoside.
Mequinol,Deslanoside,Mequinol may decrease the cardiotoxic activities of Deslanoside.
Podophyllin,Deslanoside,Podophyllin may decrease the cardiotoxic activities of Deslanoside.
Megestrol acetate,Deslanoside,Megestrol acetate may decrease the cardiotoxic activities of Deslanoside.
Fleroxacin,Deslanoside,Fleroxacin may decrease the cardiotoxic activities of Deslanoside.
Phenylbutyric acid,Deslanoside,Phenylbutyric acid may decrease the cardiotoxic activities of Deslanoside.
Pixantrone,Deslanoside,Pixantrone may decrease the cardiotoxic activities of Deslanoside.
Trifluridine,Deslanoside,Trifluridine may decrease the cardiotoxic activities of Deslanoside.
Medrogestone,Deslanoside,Medrogestone may decrease the cardiotoxic activities of Deslanoside.
Lycopene,Deslanoside,Lycopene may decrease the cardiotoxic activities of Deslanoside.
Kaolin,Deslanoside,The serum concentration of Deslanoside can be decreased when it is combined with Kaolin.
Spironolactone,Deslanoside,The therapeutic efficacy of Deslanoside can be decreased when used in combination with Spironolactone.
Labetalol,Deslanoside,Labetalol may increase the bradycardic activities of Deslanoside.
Carvedilol,Deslanoside,Carvedilol may increase the bradycardic activities of Deslanoside.
Mesalazine,Deslanoside,The serum concentration of Deslanoside can be decreased when it is combined with Mesalazine.
Balsalazide,Deslanoside,The serum concentration of Deslanoside can be decreased when it is combined with Balsalazide.
Olsalazine,Deslanoside,The serum concentration of Deslanoside can be decreased when it is combined with Olsalazine.
Resveratrol,Deslanoside,Resveratrol may decrease the cardiotoxic activities of Deslanoside.
Bisoprolol,Deslanoside,Bisoprolol may increase the bradycardic activities of Deslanoside.
Penbutolol,Deslanoside,Penbutolol may increase the bradycardic activities of Deslanoside.
Nebivolol,Deslanoside,Nebivolol may increase the bradycardic activities of Deslanoside.
Acebutolol,Deslanoside,Acebutolol may increase the bradycardic activities of Deslanoside.
Carteolol,Deslanoside,Carteolol may increase the bradycardic activities of Deslanoside.
Vandetanib,Deslanoside,Vandetanib may decrease the cardiotoxic activities of Deslanoside.
Sotalol,Deslanoside,Sotalol may increase the bradycardic activities of Deslanoside.
Levobunolol,Deslanoside,Levobunolol may increase the bradycardic activities of Deslanoside.
Pindolol,Deslanoside,Pindolol may increase the bradycardic activities of Deslanoside.
Metipranolol,Deslanoside,Metipranolol may increase the bradycardic activities of Deslanoside.
Nadolol,Deslanoside,Nadolol may increase the bradycardic activities of Deslanoside.
Propranolol,Deslanoside,Propranolol may increase the bradycardic activities of Deslanoside.
Masoprocol,Deslanoside,Masoprocol may decrease the cardiotoxic activities of Deslanoside.
Sulindac,Deslanoside,Sulindac may decrease the cardiotoxic activities of Deslanoside.
Pirfenidone,Deslanoside,Pirfenidone may decrease the cardiotoxic activities of Deslanoside.
Mycophenolate mofetil,Deslanoside,Mycophenolate mofetil may decrease the cardiotoxic activities of Deslanoside.
Leflunomide,Deslanoside,Leflunomide may decrease the cardiotoxic activities of Deslanoside.
Mycophenolic acid,Deslanoside,Mycophenolic acid may decrease the cardiotoxic activities of Deslanoside.
Lenalidomide,Deslanoside,Lenalidomide may decrease the cardiotoxic activities of Deslanoside.
Ixazomib,Deslanoside,Ixazomib may decrease the cardiotoxic activities of Deslanoside.
Ecabet,Deslanoside,Ecabet may decrease the cardiotoxic activities of Deslanoside.
Afatinib,Deslanoside,Afatinib may decrease the cardiotoxic activities of Deslanoside.
Diltiazem,Deslanoside,Diltiazem may increase the atrioventricular blocking (AV block) activities of Deslanoside.
Idelalisib,Deslanoside,Idelalisib may decrease the cardiotoxic activities of Deslanoside.
Verapamil,Deslanoside,Verapamil may increase the atrioventricular blocking (AV block) activities of Deslanoside.
Vemurafenib,Deslanoside,Vemurafenib may decrease the cardiotoxic activities of Deslanoside.
Ceritinib,Deslanoside,Ceritinib may decrease the cardiotoxic activities of Deslanoside.
Dasatinib,Deslanoside,Dasatinib may decrease the cardiotoxic activities of Deslanoside.
Palbociclib,Deslanoside,Palbociclib may decrease the cardiotoxic activities of Deslanoside.
Osimertinib,Deslanoside,Osimertinib may decrease the cardiotoxic activities of Deslanoside.
Aminolevulinic acid,Acetyldigitoxin,Aminolevulinic acid may decrease the cardiotoxic activities of Acetyldigitoxin.
Temoporfin,Acetyldigitoxin,Temoporfin may decrease the cardiotoxic activities of Acetyldigitoxin.
Cyclophosphamide,Acetyldigitoxin,Cyclophosphamide may decrease the cardiotoxic activities of Acetyldigitoxin.
Paclitaxel,Acetyldigitoxin,Paclitaxel may decrease the cardiotoxic activities of Acetyldigitoxin.
Docetaxel,Acetyldigitoxin,Docetaxel may decrease the cardiotoxic activities of Acetyldigitoxin.
Cabazitaxel,Acetyldigitoxin,Cabazitaxel may decrease the cardiotoxic activities of Acetyldigitoxin.
Sulpiride,Acetyldigitoxin,The risk or severity of adverse effects can be increased when Sulpiride is combined with Acetyldigitoxin.
Anagrelide,Acetyldigitoxin,Anagrelide may decrease the cardiotoxic activities of Acetyldigitoxin.
Carboplatin,Acetyldigitoxin,Carboplatin may decrease the cardiotoxic activities of Acetyldigitoxin.
Etacrynic acid,Acetyldigitoxin,The risk or severity of adverse effects can be increased when Etacrynic acid is combined with Acetyldigitoxin.
Pirlindole,Acetyldigitoxin,Pirlindole may decrease the cardiotoxic activities of Acetyldigitoxin.
Procarbazine,Acetyldigitoxin,Procarbazine may decrease the cardiotoxic activities of Acetyldigitoxin.
Sunitinib,Acetyldigitoxin,Sunitinib may decrease the cardiotoxic activities of Acetyldigitoxin.
Lanreotide,Acetyldigitoxin,Lanreotide may decrease the cardiotoxic activities of Acetyldigitoxin.
Imatinib,Acetyldigitoxin,Imatinib may decrease the cardiotoxic activities of Acetyldigitoxin.
Crizotinib,Acetyldigitoxin,Crizotinib may decrease the cardiotoxic activities of Acetyldigitoxin.
Mitotane,Acetyldigitoxin,Mitotane may decrease the cardiotoxic activities of Acetyldigitoxin.
Dienogest,Acetyldigitoxin,Dienogest may decrease the cardiotoxic activities of Acetyldigitoxin.
Olaparib,Acetyldigitoxin,Olaparib may decrease the cardiotoxic activities of Acetyldigitoxin.
Rucaparib,Acetyldigitoxin,Rucaparib may decrease the cardiotoxic activities of Acetyldigitoxin.
Prednisolone,Acetyldigitoxin,Prednisolone may decrease the cardiotoxic activities of Acetyldigitoxin.
Midostaurin,Acetyldigitoxin,Midostaurin may decrease the cardiotoxic activities of Acetyldigitoxin.
Medroxyprogesterone acetate,Acetyldigitoxin,Medroxyprogesterone acetate may decrease the cardiotoxic activities of Acetyldigitoxin.
Bortezomib,Acetyldigitoxin,Bortezomib may decrease the cardiotoxic activities of Acetyldigitoxin.
Panobinostat,Acetyldigitoxin,Panobinostat may decrease the cardiotoxic activities of Acetyldigitoxin.
Betaxolol,Acetyldigitoxin,Betaxolol may increase the bradycardic activities of Acetyldigitoxin.
Enzalutamide,Acetyldigitoxin,Enzalutamide may decrease the cardiotoxic activities of Acetyldigitoxin.
Abiraterone,Acetyldigitoxin,Abiraterone may decrease the cardiotoxic activities of Acetyldigitoxin.
Diethylstilbestrol,Acetyldigitoxin,Diethylstilbestrol may decrease the cardiotoxic activities of Acetyldigitoxin.
Nilotinib,Acetyldigitoxin,Nilotinib may decrease the cardiotoxic activities of Acetyldigitoxin.
Dexamethasone,Acetyldigitoxin,Dexamethasone may decrease the cardiotoxic activities of Acetyldigitoxin.
Letrozole,Acetyldigitoxin,Letrozole may decrease the cardiotoxic activities of Acetyldigitoxin.
Norfloxacin,Acetyldigitoxin,Norfloxacin may decrease the cardiotoxic activities of Acetyldigitoxin.
Miltefosine,Acetyldigitoxin,Miltefosine may decrease the cardiotoxic activities of Acetyldigitoxin.
Trimetrexate,Acetyldigitoxin,Trimetrexate may decrease the cardiotoxic activities of Acetyldigitoxin.
Amphotericin B,Acetyldigitoxin,The risk or severity of adverse effects can be increased when Amphotericin B is combined with Acetyldigitoxin.
Sirolimus,Acetyldigitoxin,Sirolimus may decrease the cardiotoxic activities of Acetyldigitoxin.
Alprenolol,Acetyldigitoxin,Alprenolol may increase the bradycardic activities of Acetyldigitoxin.
Timolol,Acetyldigitoxin,Timolol may increase the bradycardic activities of Acetyldigitoxin.
Atenolol,Acetyldigitoxin,Atenolol may increase the bradycardic activities of Acetyldigitoxin.
Bupranolol,Acetyldigitoxin,Bupranolol may increase the bradycardic activities of Acetyldigitoxin.
Celiprolol,Acetyldigitoxin,Celiprolol may increase the bradycardic activities of Acetyldigitoxin.
Oxprenolol,Acetyldigitoxin,Oxprenolol may increase the bradycardic activities of Acetyldigitoxin.
Metoprolol,Acetyldigitoxin,Metoprolol may increase the bradycardic activities of Acetyldigitoxin.
Bopindolol,Acetyldigitoxin,Bopindolol may increase the bradycardic activities of Acetyldigitoxin.
Esmolol,Acetyldigitoxin,Esmolol may increase the bradycardic activities of Acetyldigitoxin.
Pentostatin,Acetyldigitoxin,Pentostatin may decrease the cardiotoxic activities of Acetyldigitoxin.
Reserpine,Acetyldigitoxin,The risk or severity of adverse effects can be increased when Reserpine is combined with Acetyldigitoxin.
Thalidomide,Acetyldigitoxin,Thalidomide may decrease the cardiotoxic activities of Acetyldigitoxin.
Clonidine,Acetyldigitoxin,Clonidine may increase the atrioventricular blocking (AV block) activities of Acetyldigitoxin.
Pomalidomide,Acetyldigitoxin,Pomalidomide may decrease the cardiotoxic activities of Acetyldigitoxin.
Furosemide,Acetyldigitoxin,The risk or severity of adverse effects can be increased when Furosemide is combined with Acetyldigitoxin.
Torasemide,Acetyldigitoxin,The risk or severity of adverse effects can be increased when Torasemide is combined with Acetyldigitoxin.
Bumetanide,Acetyldigitoxin,The risk or severity of adverse effects can be increased when Bumetanide is combined with Acetyldigitoxin.
Edrophonium,Acetyldigitoxin,Edrophonium may increase the atrioventricular blocking (AV block) activities of Acetyldigitoxin.
Cabergoline,Acetyldigitoxin,Cabergoline may decrease the cardiotoxic activities of Acetyldigitoxin.
Moxifloxacin,Acetyldigitoxin,Moxifloxacin may decrease the cardiotoxic activities of Acetyldigitoxin.
Pazopanib,Acetyldigitoxin,Pazopanib may decrease the cardiotoxic activities of Acetyldigitoxin.
Gemifloxacin,Acetyldigitoxin,Gemifloxacin may decrease the cardiotoxic activities of Acetyldigitoxin.
Ciprofloxacin,Acetyldigitoxin,Ciprofloxacin may decrease the cardiotoxic activities of Acetyldigitoxin.
Lenvatinib,Acetyldigitoxin,Lenvatinib may decrease the cardiotoxic activities of Acetyldigitoxin.
Ofloxacin,Acetyldigitoxin,Ofloxacin may decrease the cardiotoxic activities of Acetyldigitoxin.
Toremifene,Acetyldigitoxin,Toremifene may decrease the cardiotoxic activities of Acetyldigitoxin.
Arsenic trioxide,Acetyldigitoxin,Arsenic trioxide may decrease the cardiotoxic activities of Acetyldigitoxin.
Levofloxacin,Acetyldigitoxin,Levofloxacin may decrease the cardiotoxic activities of Acetyldigitoxin.
Goserelin,Acetyldigitoxin,Goserelin may decrease the cardiotoxic activities of Acetyldigitoxin.
Vorinostat,Acetyldigitoxin,Vorinostat may decrease the cardiotoxic activities of Acetyldigitoxin.
Octreotide,Acetyldigitoxin,Octreotide may decrease the cardiotoxic activities of Acetyldigitoxin.
Triptorelin,Acetyldigitoxin,Triptorelin may decrease the cardiotoxic activities of Acetyldigitoxin.
Degarelix,Acetyldigitoxin,Degarelix may decrease the cardiotoxic activities of Acetyldigitoxin.
Indapamide,Acetyldigitoxin,The risk or severity of adverse effects can be increased when Indapamide is combined with Acetyldigitoxin.
Eribulin,Acetyldigitoxin,Eribulin may decrease the cardiotoxic activities of Acetyldigitoxin.
Epirubicin,Acetyldigitoxin,Epirubicin may decrease the cardiotoxic activities of Acetyldigitoxin.
Streptomycin,Acetyldigitoxin,The serum concentration of Acetyldigitoxin can be decreased when it is combined with Streptomycin.
Metrizamide,Acetyldigitoxin,The serum concentration of Acetyldigitoxin can be decreased when it is combined with Metrizamide.
Kanamycin,Acetyldigitoxin,The serum concentration of Acetyldigitoxin can be decreased when it is combined with Kanamycin.
Idarubicin,Acetyldigitoxin,Idarubicin may decrease the cardiotoxic activities of Acetyldigitoxin.
Plicamycin,Acetyldigitoxin,Plicamycin may decrease the cardiotoxic activities of Acetyldigitoxin.
Streptozocin,Acetyldigitoxin,Streptozocin may decrease the cardiotoxic activities of Acetyldigitoxin.
Tobramycin,Acetyldigitoxin,The serum concentration of Acetyldigitoxin can be decreased when it is combined with Tobramycin.
Amrubicin,Acetyldigitoxin,Amrubicin may decrease the cardiotoxic activities of Acetyldigitoxin.
Framycetin,Acetyldigitoxin,The serum concentration of Acetyldigitoxin can be decreased when it is combined with Framycetin.
Netilmicin,Acetyldigitoxin,The serum concentration of Acetyldigitoxin can be decreased when it is combined with Netilmicin.
Amikacin,Acetyldigitoxin,The serum concentration of Acetyldigitoxin can be decreased when it is combined with Amikacin.
Valrubicin,Acetyldigitoxin,Valrubicin may decrease the cardiotoxic activities of Acetyldigitoxin.
Daunorubicin,Acetyldigitoxin,Daunorubicin may decrease the cardiotoxic activities of Acetyldigitoxin.
Ribostamycin,Acetyldigitoxin,The serum concentration of Acetyldigitoxin can be decreased when it is combined with Ribostamycin.
Doxorubicin,Acetyldigitoxin,Doxorubicin may decrease the cardiotoxic activities of Acetyldigitoxin.
Arbekacin,Acetyldigitoxin,The serum concentration of Acetyldigitoxin can be decreased when it is combined with Arbekacin.
Gentamicin,Acetyldigitoxin,The serum concentration of Acetyldigitoxin can be decreased when it is combined with Gentamicin.
Paromomycin,Acetyldigitoxin,The serum concentration of Acetyldigitoxin can be decreased when it is combined with Paromomycin.
Spectinomycin,Acetyldigitoxin,The serum concentration of Acetyldigitoxin can be decreased when it is combined with Spectinomycin.
Prednisone,Acetyldigitoxin,Prednisone may decrease the cardiotoxic activities of Acetyldigitoxin.
Methylprednisolone,Acetyldigitoxin,Methylprednisolone may decrease the cardiotoxic activities of Acetyldigitoxin.
Formestane,Acetyldigitoxin,Formestane may decrease the cardiotoxic activities of Acetyldigitoxin.
Pamidronic acid,Acetyldigitoxin,Pamidronic acid may decrease the cardiotoxic activities of Acetyldigitoxin.
Bendroflumethiazide,Acetyldigitoxin,The risk or severity of adverse effects can be increased when Bendroflumethiazide is combined with Acetyldigitoxin.
Practolol,Acetyldigitoxin,Practolol may increase the bradycardic activities of Acetyldigitoxin.
Altretamine,Acetyldigitoxin,Altretamine may decrease the cardiotoxic activities of Acetyldigitoxin.
Arotinolol,Acetyldigitoxin,Arotinolol may increase the bradycardic activities of Acetyldigitoxin.
Bevantolol,Acetyldigitoxin,Bevantolol may increase the bradycardic activities of Acetyldigitoxin.
Chlorthalidone,Acetyldigitoxin,The risk or severity of adverse effects can be increased when Chlorthalidone is combined with Acetyldigitoxin.
Tretinoin,Acetyldigitoxin,Tretinoin may decrease the cardiotoxic activities of Acetyldigitoxin.
Methyclothiazide,Acetyldigitoxin,The risk or severity of adverse effects can be increased when Methyclothiazide is combined with Acetyldigitoxin.
Clofarabine,Acetyldigitoxin,Clofarabine may decrease the cardiotoxic activities of Acetyldigitoxin.
Amiloride,Acetyldigitoxin,The therapeutic efficacy of Acetyldigitoxin can be decreased when used in combination with Amiloride.
Triamterene,Acetyldigitoxin,The therapeutic efficacy of Acetyldigitoxin can be decreased when used in combination with Triamterene.
Hydrochlorothiazide,Acetyldigitoxin,The risk or severity of adverse effects can be increased when Hydrochlorothiazide is combined with Acetyldigitoxin.
Eplerenone,Acetyldigitoxin,The therapeutic efficacy of Acetyldigitoxin can be decreased when used in combination with Eplerenone.
Hydroflumethiazide,Acetyldigitoxin,The risk or severity of adverse effects can be increased when Hydroflumethiazide is combined with Acetyldigitoxin.
Metolazone,Acetyldigitoxin,The risk or severity of adverse effects can be increased when Metolazone is combined with Acetyldigitoxin.
Chlorothiazide,Acetyldigitoxin,The risk or severity of adverse effects can be increased when Chlorothiazide is combined with Acetyldigitoxin.
Quinacrine,Acetyldigitoxin,Quinacrine may decrease the cardiotoxic activities of Acetyldigitoxin.
Nelarabine,Acetyldigitoxin,Nelarabine may decrease the cardiotoxic activities of Acetyldigitoxin.
Azacitidine,Acetyldigitoxin,Azacitidine may decrease the cardiotoxic activities of Acetyldigitoxin.
Ifosfamide,Acetyldigitoxin,Ifosfamide may decrease the cardiotoxic activities of Acetyldigitoxin.
Cytarabine,Acetyldigitoxin,Cytarabine may decrease the cardiotoxic activities of Acetyldigitoxin.
Lomustine,Acetyldigitoxin,Lomustine may decrease the cardiotoxic activities of Acetyldigitoxin.
Mechlorethamine,Acetyldigitoxin,Mechlorethamine may decrease the cardiotoxic activities of Acetyldigitoxin.
Vincristine,Acetyldigitoxin,Vincristine may decrease the cardiotoxic activities of Acetyldigitoxin.
Temozolomide,Acetyldigitoxin,Temozolomide may decrease the cardiotoxic activities of Acetyldigitoxin.
Busulfan,Acetyldigitoxin,Busulfan may decrease the cardiotoxic activities of Acetyldigitoxin.
Vinorelbine,Acetyldigitoxin,Vinorelbine may decrease the cardiotoxic activities of Acetyldigitoxin.
Tioguanine,Acetyldigitoxin,Tioguanine may decrease the cardiotoxic activities of Acetyldigitoxin.
Mitoxantrone,Acetyldigitoxin,Mitoxantrone may decrease the cardiotoxic activities of Acetyldigitoxin.
Fluorouracil,Acetyldigitoxin,Fluorouracil may decrease the cardiotoxic activities of Acetyldigitoxin.
Imiquimod,Acetyldigitoxin,Imiquimod may decrease the cardiotoxic activities of Acetyldigitoxin.
Oxaliplatin,Acetyldigitoxin,Oxaliplatin may decrease the cardiotoxic activities of Acetyldigitoxin.
Pemetrexed,Acetyldigitoxin,Pemetrexed may decrease the cardiotoxic activities of Acetyldigitoxin.
Capecitabine,Acetyldigitoxin,Capecitabine may decrease the cardiotoxic activities of Acetyldigitoxin.
Fludarabine,Acetyldigitoxin,Fludarabine may decrease the cardiotoxic activities of Acetyldigitoxin.
Pralatrexate,Acetyldigitoxin,Pralatrexate may decrease the cardiotoxic activities of Acetyldigitoxin.
Etoposide,Acetyldigitoxin,Etoposide may decrease the cardiotoxic activities of Acetyldigitoxin.
Ruxolitinib,Acetyldigitoxin,Ruxolitinib may decrease the cardiotoxic activities of Acetyldigitoxin.
Melphalan,Acetyldigitoxin,Melphalan may decrease the cardiotoxic activities of Acetyldigitoxin.
Sorafenib,Acetyldigitoxin,Sorafenib may decrease the cardiotoxic activities of Acetyldigitoxin.
Teniposide,Acetyldigitoxin,Teniposide may decrease the cardiotoxic activities of Acetyldigitoxin.
Everolimus,Acetyldigitoxin,Everolimus may decrease the cardiotoxic activities of Acetyldigitoxin.
Azathioprine,Acetyldigitoxin,Azathioprine may decrease the cardiotoxic activities of Acetyldigitoxin.
Dactinomycin,Acetyldigitoxin,Dactinomycin may decrease the cardiotoxic activities of Acetyldigitoxin.
Mitomycin,Acetyldigitoxin,Mitomycin may decrease the cardiotoxic activities of Acetyldigitoxin.
Cisplatin,Acetyldigitoxin,Cisplatin may decrease the cardiotoxic activities of Acetyldigitoxin.
Carmustine,Acetyldigitoxin,Carmustine may decrease the cardiotoxic activities of Acetyldigitoxin.
Hydroxyurea,Acetyldigitoxin,Hydroxyurea may decrease the cardiotoxic activities of Acetyldigitoxin.
Cladribine,Acetyldigitoxin,Cladribine may decrease the cardiotoxic activities of Acetyldigitoxin.
Ibrutinib,Acetyldigitoxin,Ibrutinib may decrease the cardiotoxic activities of Acetyldigitoxin.
Amsacrine,Acetyldigitoxin,Amsacrine may decrease the cardiotoxic activities of Acetyldigitoxin.
Vinblastine,Acetyldigitoxin,Vinblastine may decrease the cardiotoxic activities of Acetyldigitoxin.
Temsirolimus,Acetyldigitoxin,Temsirolimus may decrease the cardiotoxic activities of Acetyldigitoxin.
Thiotepa,Acetyldigitoxin,Thiotepa may decrease the cardiotoxic activities of Acetyldigitoxin.
Gemcitabine,Acetyldigitoxin,Gemcitabine may decrease the cardiotoxic activities of Acetyldigitoxin.
Chlorambucil,Acetyldigitoxin,Chlorambucil may decrease the cardiotoxic activities of Acetyldigitoxin.
Mercaptopurine,Acetyldigitoxin,Mercaptopurine may decrease the cardiotoxic activities of Acetyldigitoxin.
Methotrexate,Acetyldigitoxin,Methotrexate may decrease the cardiotoxic activities of Acetyldigitoxin.
Bleomycin,Acetyldigitoxin,Bleomycin may decrease the cardiotoxic activities of Acetyldigitoxin.
Estramustine,Acetyldigitoxin,Estramustine may decrease the cardiotoxic activities of Acetyldigitoxin.
Vindesine,Acetyldigitoxin,Vindesine may decrease the cardiotoxic activities of Acetyldigitoxin.
Floxuridine,Acetyldigitoxin,Floxuridine may decrease the cardiotoxic activities of Acetyldigitoxin.
Dacarbazine,Acetyldigitoxin,Dacarbazine may decrease the cardiotoxic activities of Acetyldigitoxin.
Trabectedin,Acetyldigitoxin,Trabectedin may decrease the cardiotoxic activities of Acetyldigitoxin.
Irinotecan,Acetyldigitoxin,Irinotecan may decrease the cardiotoxic activities of Acetyldigitoxin.
Gallium nitrate,Acetyldigitoxin,Gallium nitrate may decrease the cardiotoxic activities of Acetyldigitoxin.
Topotecan,Acetyldigitoxin,Topotecan may decrease the cardiotoxic activities of Acetyldigitoxin.
Tibolone,Acetyldigitoxin,Tibolone may decrease the cardiotoxic activities of Acetyldigitoxin.
Polythiazide,Acetyldigitoxin,The risk or severity of adverse effects can be increased when Polythiazide is combined with Acetyldigitoxin.
Trichlormethiazide,Acetyldigitoxin,The risk or severity of adverse effects can be increased when Trichlormethiazide is combined with Acetyldigitoxin.
Albendazole,Acetyldigitoxin,Albendazole may decrease the cardiotoxic activities of Acetyldigitoxin.
Podofilox,Acetyldigitoxin,Podofilox may decrease the cardiotoxic activities of Acetyldigitoxin.
Gefitinib,Acetyldigitoxin,Gefitinib may decrease the cardiotoxic activities of Acetyldigitoxin.
Lapatinib,Acetyldigitoxin,Lapatinib may decrease the cardiotoxic activities of Acetyldigitoxin.
Regorafenib,Acetyldigitoxin,Regorafenib may decrease the cardiotoxic activities of Acetyldigitoxin.
